what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1264177321356
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264177328215
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1264177345680
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177348344
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177348713
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1264177373445
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177375882
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177386098
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264177386108
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177397678
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177401265
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264177403338
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264177451581
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177453961
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177465223
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264177468123
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264177468310
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264177468381
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264177477323
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264177477510
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177530836
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177533510
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264177533956
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1264177540885
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264177542815
