what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189609184
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189624071
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189658397
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264189664375
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264189669152
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264189731859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189735241
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1264189735265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189745851
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264189745899
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189747818
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189760337
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264189760492
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189762480
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189766475
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264189766573
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189794575
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189794702
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264189801466
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264189822586
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1264189834401
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189844776
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1264189844817
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189854894
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264189871958
