what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264184378028
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1264184421270
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184422949
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184423142
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1264184428340
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184442555
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184454120
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264184454132
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184457182
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184458751
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264184458759
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264184458759
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.saveAll",1264184463016
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264184465005
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1264184465834
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264184470642
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184486689
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184492910
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264184492920
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264184492920
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184504593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184506571
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.clean.up",1264184506579
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184520164
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184563374
