what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264184563391
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264184569567
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264184574420
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184585312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184596591
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264184596597
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184598144
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184599472
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1264184599480
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184607353
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184609193
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264184609199
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184618774
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184624460
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264184624467
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1264184624467
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184626093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184691630
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264184691645
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1264184693171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184696850
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184730109
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264184730122
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184731383
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264184769451
